Some weights of ViTModel were not initialized from the model checkpoint at google/vit-base-patch16-224 and are newly initialized: ['vit.pooler.dense.bias', 'vit.pooler.dense.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Extracting object features...
video: P_03, start frame:389, end frame:3086, actions: ['dental floss'], selected frames:16, block number: 0
video: P_03, start frame:18671, end frame:20289, actions: ['making cold food/snack'], selected frames:16, block number: 19
video: P_03, start frame:20829, end frame:21338, actions: ['making tea'], selected frames:16, block number: 0
video: P_03, start frame:20829, end frame:21338, actions: ['making tea'], selected frames:16, block number: 1
video: P_03, start frame:20829, end frame:21338, actions: ['making tea'], selected frames:16, block number: 2
video: P_03, start frame:20829, end frame:21338, actions: ['making tea'], selected frames:16, block number: 3
video: P_03, start frame:20829, end frame:21338, actions: ['making tea'], selected frames:16, block number: 4
video: P_03, start frame:20829, end frame:21338, actions: ['making tea'], selected frames:16, block number: 5
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 0
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 1
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 2
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 3
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 4
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 5
video: P_03, start frame:21578, end frame:22177, actions: ['washing hands/face'], selected frames:16, block number: 6
video: P_03, start frame:22177, end frame:22447, actions: ['drying hands/face'], selected frames:16, block number: 0
video: P_03, start frame:22177, end frame:22447, actions: ['drying hands/face'], selected frames:16, block number: 1
video: P_03, start frame:22177, end frame:22447, actions: ['drying hands/face'], selected frames:16, block number: 2
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 0
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 1
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 2
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 3
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 4
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 5
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 6
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 7
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 8
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 9
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 10
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 11
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 12
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 13
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 14
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 15
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 16
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 17
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 18
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 19
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 20
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 21
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 22
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 23
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 24
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 25
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 26
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 27
video: P_03, start frame:23016, end frame:25414, actions: ['making tea'], selected frames:16, block number: 28
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 0
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 1
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 2
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 3
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 4
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 5
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 6
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 7
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 8
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 9
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 10
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 11
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 12
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 13
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 14
video: P_03, start frame:25594, end frame:26913, actions: ['drinking water/bottle'], selected frames:16, block number: 15
video: P_03, start frame:26913, end frame:27152, actions: ['adjusting thermostat', 'drinking water/bottle'], selected frames:16, block number: 0
video: P_03, start frame:26913, end frame:27152, actions: ['adjusting thermostat', 'drinking water/bottle'], selected frames:16, block number: 1
video: P_03, start frame:26913, end frame:27152, actions: ['adjusting thermostat', 'drinking water/bottle'], selected frames:16, block number: 2
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 0
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 1
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 2
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 3
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 4
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 5
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 6
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 7
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 8
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 9
video: P_03, start frame:27152, end frame:28081, actions: ['drinking water/bottle'], selected frames:16, block number: 10
