P_01
P_02
P_16
P_17
P_07
P_08
P_11
P_15
Extracting video features for the val split ...
video: P_01 start frame:239, end frame:989, initially selected frames: 150, finally selected frames:16
video: P_02 start frame:7402, end frame:7642, initially selected frames: 48, finally selected frames:16
video: P_02 start frame:8511, end frame:12167, initially selected frames: 731, finally selected frames:16
video: P_02 start frame:12197, end frame:15674, initially selected frames: 695, finally selected frames:16
video: P_02 start frame:15884, end frame:20889, initially selected frames: 1001, finally selected frames:16
video: P_02 start frame:16573, end frame:17652, initially selected frames: 216, finally selected frames:16
video: P_02 start frame:18731, end frame:18971, initially selected frames: 48, finally selected frames:16
video: P_02 start frame:20889, end frame:26853, initially selected frames: 1193, finally selected frames:16
video: P_02 start frame:24935, end frame:25174, initially selected frames: 48, finally selected frames:16
video: P_02 start frame:26253, end frame:26583, initially selected frames: 66, finally selected frames:16
video: P_02 start frame:27812, end frame:28111, initially selected frames: 60, finally selected frames:16
video: P_02 start frame:29100, end frame:35274, initially selected frames: 1235, finally selected frames:16
video: P_02 start frame:29160, end frame:29610, initially selected frames: 90, finally selected frames:16
video: P_02 start frame:33056, end frame:34645, initially selected frames: 318, finally selected frames:16
video: P_02 start frame:35274, end frame:41268, initially selected frames: 1199, finally selected frames:16
video: P_02 start frame:41268, end frame:42437, initially selected frames: 234, finally selected frames:16
video: P_02 start frame:42437, end frame:46063, initially selected frames: 725, finally selected frames:16
video: P_02 start frame:43156, end frame:43366, initially selected frames: 42, finally selected frames:16
video: P_02 start frame:44145, end frame:44685, initially selected frames: 108, finally selected frames:16
video: P_02 start frame:45044, end frame:45254, initially selected frames: 42, finally selected frames:16
video: P_02 start frame:46213, end frame:46483, initially selected frames: 54, finally selected frames:16
video: P_02 start frame:47232, end frame:67462, initially selected frames: 4046, finally selected frames:16
video: P_02 start frame:68481, end frame:73246, initially selected frames: 953, finally selected frames:16
video: P_02 start frame:72137, end frame:72887, initially selected frames: 150, finally selected frames:16
video: P_02 start frame:73816, end frame:76093, initially selected frames: 455, finally selected frames:16
video: P_02 start frame:76183, end frame:77562, initially selected frames: 276, finally selected frames:16
video: P_02 start frame:78401, end frame:79660, initially selected frames: 252, finally selected frames:16
video: P_02 start frame:84305, end frame:85744, initially selected frames: 288, finally selected frames:16
video: P_16 start frame:419, end frame:2757, initially selected frames: 467, finally selected frames:16
video: P_16 start frame:2847, end frame:3086, initially selected frames: 48, finally selected frames:16
video: P_16 start frame:3146, end frame:3716, initially selected frames: 114, finally selected frames:16
video: P_16 start frame:3746, end frame:4495, initially selected frames: 150, finally selected frames:16
video: P_16 start frame:4525, end frame:4825, initially selected frames: 60, finally selected frames:16
video: P_16 start frame:5214, end frame:6863, initially selected frames: 330, finally selected frames:16
video: P_16 start frame:7102, end frame:7912, initially selected frames: 162, finally selected frames:16
video: P_16 start frame:7912, end frame:9170, initially selected frames: 251, finally selected frames:16
video: P_16 start frame:9440, end frame:13516, initially selected frames: 815, finally selected frames:16
video: P_16 start frame:13516, end frame:14715, initially selected frames: 240, finally selected frames:16
video: P_16 start frame:15224, end frame:17532, initially selected frames: 461, finally selected frames:16
video: P_16 start frame:18371, end frame:19060, initially selected frames: 138, finally selected frames:16
video: P_16 start frame:19060, end frame:19600, initially selected frames: 108, finally selected frames:16
video: P_16 start frame:19720, end frame:19840, initially selected frames: 24, finally selected frames:16
video: P_16 start frame:20109, end frame:23076, initially selected frames: 593, finally selected frames:16
video: P_16 start frame:23376, end frame:23646, initially selected frames: 54, finally selected frames:16
video: P_16 start frame:23886, end frame:25174, initially selected frames: 257, finally selected frames:16
video: P_17 start frame:89, end frame:539, initially selected frames: 90, finally selected frames:16
video: P_17 start frame:569, end frame:1318, initially selected frames: 150, finally selected frames:16
video: P_17 start frame:1348, end frame:1918, initially selected frames: 114, finally selected frames:16
video: P_17 start frame:1948, end frame:2217, initially selected frames: 54, finally selected frames:16
video: P_17 start frame:2217, end frame:2397, initially selected frames: 36, finally selected frames:16
video: P_17 start frame:2427, end frame:2817, initially selected frames: 78, finally selected frames:16
video: P_17 start frame:3326, end frame:4345, initially selected frames: 204, finally selected frames:16
video: P_17 start frame:4645, end frame:4795, initially selected frames: 30, finally selected frames:16
video: P_17 start frame:4945, end frame:5364, initially selected frames: 84, finally selected frames:16
video: P_17 start frame:5424, end frame:6113, initially selected frames: 138, finally selected frames:16
video: P_17 start frame:6143, end frame:6323, initially selected frames: 36, finally selected frames:16
video: P_17 start frame:6503, end frame:12797, initially selected frames: 1259, finally selected frames:16
video: P_17 start frame:12287, end frame:12437, initially selected frames: 30, finally selected frames:16
video: P_17 start frame:12797, end frame:13006, initially selected frames: 42, finally selected frames:16
video: P_17 start frame:13066, end frame:13216, initially selected frames: 30, finally selected frames:16
video: P_17 start frame:13636, end frame:13816, initially selected frames: 36, finally selected frames:16
video: P_17 start frame:15284, end frame:17712, initially selected frames: 485, finally selected frames:16
video: P_17 start frame:17712, end frame:18281, initially selected frames: 114, finally selected frames:16
video: P_17 start frame:19840, end frame:20709, initially selected frames: 174, finally selected frames:16
video: P_17 start frame:21458, end frame:22147, initially selected frames: 138, finally selected frames:16
video: P_17 start frame:22087, end frame:22237, initially selected frames: 30, finally selected frames:16
video: P_17 start frame:25744, end frame:26523, initially selected frames: 156, finally selected frames:16
Extraction completed !
Extracting video features for the test split ...
video: P_07 start frame:119, end frame:7942, initially selected frames: 1564, finally selected frames:16
video: P_07 start frame:13066, end frame:14085, initially selected frames: 204, finally selected frames:16
video: P_07 start frame:14175, end frame:14445, initially selected frames: 54, finally selected frames:16
video: P_07 start frame:14595, end frame:21997, initially selected frames: 1480, finally selected frames:16
video: P_07 start frame:22267, end frame:22627, initially selected frames: 72, finally selected frames:16
video: P_07 start frame:22927, end frame:30449, initially selected frames: 1504, finally selected frames:16
video: P_07 start frame:31348, end frame:42407, initially selected frames: 2212, finally selected frames:16
video: P_07 start frame:38121, end frame:40039, initially selected frames: 383, finally selected frames:16
video: P_07 start frame:42976, end frame:50499, initially selected frames: 1504, finally selected frames:16
video: P_07 start frame:42437, end frame:50799, initially selected frames: 1672, finally selected frames:16
video: P_07 start frame:51038, end frame:53226, initially selected frames: 437, finally selected frames:16
video: P_07 start frame:53406, end frame:60179, initially selected frames: 1354, finally selected frames:16
video: P_07 start frame:55084, end frame:55324, initially selected frames: 48, finally selected frames:16
video: P_07 start frame:59520, end frame:59760, initially selected frames: 48, finally selected frames:16
video: P_07 start frame:60329, end frame:72317, initially selected frames: 2397, finally selected frames:16
video: P_07 start frame:63955, end frame:64135, initially selected frames: 36, finally selected frames:16
video: P_07 start frame:72377, end frame:72587, initially selected frames: 42, finally selected frames:16
video: P_07 start frame:72767, end frame:77981, initially selected frames: 1043, finally selected frames:16
video: P_07 start frame:78161, end frame:78821, initially selected frames: 132, finally selected frames:16
video: P_07 start frame:79000, end frame:79270, initially selected frames: 54, finally selected frames:16
video: P_08 start frame:29, end frame:2187, initially selected frames: 431, finally selected frames:16
video: P_08 start frame:2337, end frame:3266, initially selected frames: 186, finally selected frames:16
video: P_08 start frame:3296, end frame:5934, initially selected frames: 527, finally selected frames:16
video: P_08 start frame:5964, end frame:6143, initially selected frames: 36, finally selected frames:16
video: P_08 start frame:6233, end frame:6953, initially selected frames: 144, finally selected frames:16
video: P_08 start frame:7102, end frame:8391, initially selected frames: 258, finally selected frames:16
video: P_08 start frame:8541, end frame:14775, initially selected frames: 1247, finally selected frames:16
video: P_08 start frame:14805, end frame:15104, initially selected frames: 60, finally selected frames:16
video: P_08 start frame:15134, end frame:36113, initially selected frames: 4196, finally selected frames:16
video: P_08 start frame:16483, end frame:18941, initially selected frames: 491, finally selected frames:16
video: P_08 start frame:19900, end frame:19989, initially selected frames: 18, finally selected frames:16
video: P_08 start frame:20019, end frame:20139, initially selected frames: 24, finally selected frames:16
video: P_08 start frame:21728, end frame:22027, initially selected frames: 60, finally selected frames:16
video: P_08 start frame:23556, end frame:23766, initially selected frames: 42, finally selected frames:16
video: P_08 start frame:24515, end frame:26163, initially selected frames: 329, finally selected frames:16
video: P_08 start frame:26223, end frame:26313, initially selected frames: 18, finally selected frames:16
video: P_08 start frame:26733, end frame:29550, initially selected frames: 563, finally selected frames:16
video: P_08 start frame:29580, end frame:30359, initially selected frames: 156, finally selected frames:16
video: P_08 start frame:30389, end frame:30689, initially selected frames: 60, finally selected frames:16
video: P_08 start frame:33176, end frame:35993, initially selected frames: 563, finally selected frames:16
video: P_08 start frame:35334, end frame:35424, initially selected frames: 18, finally selected frames:16
video: P_08 start frame:36143, end frame:45194, initially selected frames: 1810, finally selected frames:16
video: P_08 start frame:44235, end frame:44445, initially selected frames: 42, finally selected frames:16
video: P_08 start frame:44895, end frame:45194, initially selected frames: 60, finally selected frames:16
video: P_08 start frame:45224, end frame:45764, initially selected frames: 108, finally selected frames:16
video: P_08 start frame:45794, end frame:45973, initially selected frames: 36, finally selected frames:16
video: P_08 start frame:46333, end frame:47352, initially selected frames: 204, finally selected frames:16
video: P_11 start frame:29, end frame:1978, initially selected frames: 390, finally selected frames:16
video: P_11 start frame:2337, end frame:2787, initially selected frames: 90, finally selected frames:16
video: P_11 start frame:2847, end frame:5154, initially selected frames: 461, finally selected frames:16
video: P_11 start frame:5394, end frame:9830, initially selected frames: 887, finally selected frames:16
video: P_11 start frame:9950, end frame:12527, initially selected frames: 515, finally selected frames:16
video: P_11 start frame:10998, end frame:11568, initially selected frames: 114, finally selected frames:16
video: P_11 start frame:12557, end frame:12797, initially selected frames: 48, finally selected frames:16
video: P_11 start frame:13246, end frame:13786, initially selected frames: 108, finally selected frames:16
video: P_11 start frame:13816, end frame:14115, initially selected frames: 60, finally selected frames:16
video: P_11 start frame:14265, end frame:14655, initially selected frames: 78, finally selected frames:16
video: P_15 start frame:89, end frame:2787, initially selected frames: 539, finally selected frames:16
video: P_15 start frame:2787, end frame:3926, initially selected frames: 228, finally selected frames:16
video: P_15 start frame:5184, end frame:7372, initially selected frames: 437, finally selected frames:16
video: P_15 start frame:7492, end frame:9050, initially selected frames: 311, finally selected frames:16
video: P_15 start frame:9080, end frame:10279, initially selected frames: 240, finally selected frames:16
video: P_15 start frame:10309, end frame:10639, initially selected frames: 66, finally selected frames:16
video: P_15 start frame:12107, end frame:13966, initially selected frames: 372, finally selected frames:16
video: P_15 start frame:14265, end frame:27872, initially selected frames: 2721, finally selected frames:16
video: P_15 start frame:15374, end frame:16723, initially selected frames: 270, finally selected frames:16
video: P_15 start frame:27932, end frame:29130, initially selected frames: 239, finally selected frames:16
video: P_15 start frame:29310, end frame:30689, initially selected frames: 276, finally selected frames:16
video: P_15 start frame:30689, end frame:32907, initially selected frames: 443, finally selected frames:16
video: P_15 start frame:36173, end frame:39110, initially selected frames: 587, finally selected frames:16
video: P_15 start frame:40579, end frame:42827, initially selected frames: 449, finally selected frames:16
video: P_15 start frame:33836, end frame:36143, initially selected frames: 461, finally selected frames:16
video: P_15 start frame:36143, end frame:39170, initially selected frames: 605, finally selected frames:16
video: P_15 start frame:39170, end frame:39680, initially selected frames: 102, finally selected frames:16
video: P_15 start frame:40249, end frame:40429, initially selected frames: 36, finally selected frames:16
video: P_15 start frame:39800, end frame:39920, initially selected frames: 24, finally selected frames:16
video: P_15 start frame:42857, end frame:44265, initially selected frames: 281, finally selected frames:16
video: P_15 start frame:44565, end frame:44984, initially selected frames: 84, finally selected frames:16
Extraction completed !
