P_03
P_04
P_05
P_06
P_09
P_10
P_12
P_13
P_14
P_18
P_19
P_20
Extracting video features for the train split ...
video: P_03 start frame:389, end frame:3086, initially selected frames: 539, finally selected frames:528, start block: 24
video: P_04 start frame:23346, end frame:23886, initially selected frames: 108, finally selected frames:96, start block: 5
video: P_04 start frame:24005, end frame:24305, initially selected frames: 60, finally selected frames:48, start block: 1
video: P_04 start frame:24365, end frame:24485, initially selected frames: 24, finally selected frames:16, start block: 1
video: P_04 start frame:24575, end frame:27722, initially selected frames: 629, finally selected frames:624, start block: 28
video: P_04 start frame:27722, end frame:41088, initially selected frames: 2673, finally selected frames:2672, start block: 133
video: P_04 start frame:28291, end frame:38451, initially selected frames: 2032, finally selected frames:2032, start block: 133
video: P_04 start frame:38751, end frame:40669, initially selected frames: 383, finally selected frames:368, start block: 8
video: P_04 start frame:41538, end frame:42107, initially selected frames: 114, finally selected frames:112, start block: 0
video: P_04 start frame:42287, end frame:42617, initially selected frames: 66, finally selected frames:64, start block: 4
video: P_04 start frame:43126, end frame:45973, initially selected frames: 569, finally selected frames:560, start block: 0
video: P_04 start frame:43876, end frame:44115, initially selected frames: 48, finally selected frames:48, start block: 0
video: P_05 start frame:89, end frame:3716, initially selected frames: 725, finally selected frames:720, start block: 5
video: P_05 start frame:4195, end frame:10249, initially selected frames: 1211, finally selected frames:1200, start block: 51
video: P_05 start frame:10549, end frame:15254, initially selected frames: 941, finally selected frames:928, start block: 45
video: P_05 start frame:15824, end frame:19030, initially selected frames: 641, finally selected frames:640, start block: 40
video: P_05 start frame:19030, end frame:19630, initially selected frames: 120, finally selected frames:112, start block: 0
video: P_05 start frame:19630, end frame:24545, initially selected frames: 983, finally selected frames:976, start block: 39
video: P_05 start frame:24545, end frame:25084, initially selected frames: 108, finally selected frames:96, start block: 3
video: P_05 start frame:25084, end frame:25414, initially selected frames: 66, finally selected frames:64, start block: 2
video: P_05 start frame:26013, end frame:27602, initially selected frames: 318, finally selected frames:304, start block: 7
video: P_05 start frame:28171, end frame:30749, initially selected frames: 515, finally selected frames:512, start block: 20
video: P_05 start frame:31078, end frame:33416, initially selected frames: 467, finally selected frames:464, start block: 22
video: P_05 start frame:34705, end frame:35664, initially selected frames: 192, finally selected frames:192, start block: 22
video: P_05 start frame:36233, end frame:36653, initially selected frames: 84, finally selected frames:80, start block: 0
video: P_05 start frame:37432, end frame:37971, initially selected frames: 108, finally selected frames:96, start block: 1
video: P_05 start frame:37971, end frame:38691, initially selected frames: 144, finally selected frames:144, start block: 1
video: P_05 start frame:38751, end frame:39770, initially selected frames: 204, finally selected frames:192, start block: 9
video: P_05 start frame:39979, end frame:44205, initially selected frames: 845, finally selected frames:832, start block: 14
video: P_06 start frame:29, end frame:5244, initially selected frames: 1043, finally selected frames:1040, start block: 30
video: P_06 start frame:5274, end frame:8301, initially selected frames: 605, finally selected frames:592, start block: 9
video: P_06 start frame:8331, end frame:31498, initially selected frames: 4633, finally selected frames:4624, start block: 278
video: P_06 start frame:19750, end frame:27032, initially selected frames: 1456, finally selected frames:1456, start block: 278
video: P_06 start frame:27032, end frame:30719, initially selected frames: 737, finally selected frames:736, start block: 28
video: P_06 start frame:31768, end frame:36383, initially selected frames: 923, finally selected frames:912, start block: 5
video: P_06 start frame:36413, end frame:38121, initially selected frames: 341, finally selected frames:336, start block: 2
video: P_06 start frame:38301, end frame:41838, initially selected frames: 707, finally selected frames:704, start block: 20
video: P_06 start frame:41868, end frame:42077, initially selected frames: 42, finally selected frames:32, start block: 2
video: P_06 start frame:42167, end frame:44655, initially selected frames: 497, finally selected frames:496, start block: 31
video: P_06 start frame:44685, end frame:45674, initially selected frames: 198, finally selected frames:192, start block: 1
video: P_06 start frame:45704, end frame:46453, initially selected frames: 150, finally selected frames:144, start block: 4
video: P_09 start frame:29, end frame:3446, initially selected frames: 683, finally selected frames:672, start block: 35
video: P_09 start frame:3806, end frame:4825, initially selected frames: 204, finally selected frames:192, start block: 4
video: P_09 start frame:4795, end frame:8661, initially selected frames: 773, finally selected frames:768, start block: 45
video: P_09 start frame:8691, end frame:11538, initially selected frames: 569, finally selected frames:560, start block: 7
video: P_09 start frame:11628, end frame:14235, initially selected frames: 521, finally selected frames:512, start block: 21
video: P_09 start frame:15074, end frame:17202, initially selected frames: 425, finally selected frames:416, start block: 26
video: P_09 start frame:15644, end frame:17202, initially selected frames: 311, finally selected frames:304, start block: 17
video: P_09 start frame:17472, end frame:18071, initially selected frames: 120, finally selected frames:112, start block: 3
video: P_09 start frame:18431, end frame:20379, initially selected frames: 389, finally selected frames:384, start block: 19
video: P_09 start frame:20409, end frame:23496, initially selected frames: 617, finally selected frames:608, start block: 35
video: P_09 start frame:23766, end frame:24575, initially selected frames: 162, finally selected frames:160, start block: 9
video: P_09 start frame:24845, end frame:27932, initially selected frames: 617, finally selected frames:608, start block: 18
video: P_09 start frame:28261, end frame:30629, initially selected frames: 473, finally selected frames:464, start block: 14
video: P_09 start frame:30629, end frame:30869, initially selected frames: 48, finally selected frames:48, start block: 14
video: P_09 start frame:31108, end frame:31258, initially selected frames: 30, finally selected frames:16, start block: 0
video: P_09 start frame:31468, end frame:32157, initially selected frames: 138, finally selected frames:128, start block: 6
video: P_09 start frame:32397, end frame:34225, initially selected frames: 365, finally selected frames:352, start block: 10
video: P_09 start frame:34255, end frame:34525, initially selected frames: 54, finally selected frames:48, start block: 1
video: P_09 start frame:34825, end frame:37072, initially selected frames: 449, finally selected frames:448, start block: 9
video: P_09 start frame:37102, end frame:37582, initially selected frames: 96, finally selected frames:96, start block: 9
video: P_09 start frame:37582, end frame:37732, initially selected frames: 30, finally selected frames:16, start block: 0
video: P_09 start frame:37852, end frame:38601, initially selected frames: 150, finally selected frames:144, start block: 3
video: P_10 start frame:509, end frame:3056, initially selected frames: 509, finally selected frames:496, start block: 11
video: P_10 start frame:3086, end frame:3566, initially selected frames: 96, finally selected frames:96, start block: 11
video: P_10 start frame:4045, end frame:9920, initially selected frames: 1175, finally selected frames:1168, start block: 4
video: P_10 start frame:9440, end frame:10129, initially selected frames: 138, finally selected frames:128, start block: 4
video: P_10 start frame:10309, end frame:10879, initially selected frames: 114, finally selected frames:112, start block: 7
video: P_10 start frame:12227, end frame:17172, initially selected frames: 989, finally selected frames:976, start block: 4
video: P_10 start frame:17292, end frame:17742, initially selected frames: 90, finally selected frames:80, start block: 0
video: P_10 start frame:20619, end frame:25983, initially selected frames: 1073, finally selected frames:1072, start block: 16
video: P_10 start frame:21128, end frame:22807, initially selected frames: 336, finally selected frames:336, start block: 16
video: P_10 start frame:26373, end frame:28291, initially selected frames: 383, finally selected frames:368, start block: 4
video: P_10 start frame:28441, end frame:28651, initially selected frames: 42, finally selected frames:32, start block: 0
video: P_12 start frame:239, end frame:1738, initially selected frames: 300, finally selected frames:288, start block: 2
video: P_12 start frame:1768, end frame:2157, initially selected frames: 78, finally selected frames:64, start block: 4
video: P_12 start frame:2187, end frame:2697, initially selected frames: 102, finally selected frames:96, start block: 5
video: P_12 start frame:2727, end frame:5514, initially selected frames: 557, finally selected frames:544, start block: 25
video: P_12 start frame:5544, end frame:9080, initially selected frames: 707, finally selected frames:704, start block: 33
video: P_12 start frame:9110, end frame:11058, initially selected frames: 389, finally selected frames:384, start block: 8
video: P_12 start frame:11088, end frame:11268, initially selected frames: 36, finally selected frames:32, start block: 2
video: P_12 start frame:11298, end frame:11718, initially selected frames: 84, finally selected frames:80, start block: 1
video: P_12 start frame:11748, end frame:13726, initially selected frames: 395, finally selected frames:384, start block: 6
video: P_12 start frame:14295, end frame:17832, initially selected frames: 707, finally selected frames:704, start block: 43
video: P_12 start frame:17982, end frame:19780, initially selected frames: 359, finally selected frames:352, start block: 18
video: P_12 start frame:19810, end frame:21368, initially selected frames: 311, finally selected frames:304, start block: 13
video: P_12 start frame:21398, end frame:24515, initially selected frames: 623, finally selected frames:608, start block: 37
video: P_12 start frame:21578, end frame:24515, initially selected frames: 587, finally selected frames:576, start block: 17
video: P_12 start frame:22057, end frame:24245, initially selected frames: 437, finally selected frames:432, start block: 14
video: P_12 start frame:24635, end frame:25294, initially selected frames: 132, finally selected frames:128, start block: 7
video: P_13 start frame:329, end frame:1768, initially selected frames: 288, finally selected frames:288, start block: 7
video: P_13 start frame:1888, end frame:15194, initially selected frames: 2661, finally selected frames:2656, start block: 164
video: P_13 start frame:15404, end frame:15614, initially selected frames: 42, finally selected frames:32, start block: 2
video: P_13 start frame:16063, end frame:20769, initially selected frames: 941, finally selected frames:928, start block: 58
video: P_13 start frame:20889, end frame:21428, initially selected frames: 108, finally selected frames:96, start block: 6
video: P_13 start frame:21458, end frame:21668, initially selected frames: 42, finally selected frames:32, start block: 1
video: P_13 start frame:21788, end frame:24095, initially selected frames: 461, finally selected frames:448, start block: 2
video: P_13 start frame:24395, end frame:28951, initially selected frames: 911, finally selected frames:896, start block: 20
video: P_13 start frame:29280, end frame:30839, initially selected frames: 312, finally selected frames:304, start block: 19
video: P_13 start frame:32037, end frame:33116, initially selected frames: 216, finally selected frames:208, start block: 1
video: P_13 start frame:33866, end frame:43696, initially selected frames: 1966, finally selected frames:1952, start block: 62
video: P_13 start frame:35064, end frame:38721, initially selected frames: 731, finally selected frames:720, start block: 37
video: P_13 start frame:35394, end frame:36773, initially selected frames: 276, finally selected frames:272, start block: 10
video: P_13 start frame:37102, end frame:39050, initially selected frames: 389, finally selected frames:384, start block: 6
video: P_13 start frame:39680, end frame:43186, initially selected frames: 701, finally selected frames:688, start block: 15
video: P_13 start frame:43276, end frame:43606, initially selected frames: 66, finally selected frames:64, start block: 0
video: P_13 start frame:43995, end frame:51068, initially selected frames: 1414, finally selected frames:1408, start block: 34
video: P_13 start frame:51818, end frame:52057, initially selected frames: 48, finally selected frames:48, start block: 34
video: P_14 start frame:149, end frame:839, initially selected frames: 138, finally selected frames:128, start block: 1
video: P_14 start frame:989, end frame:2127, initially selected frames: 227, finally selected frames:224, start block: 11
video: P_14 start frame:2157, end frame:2457, initially selected frames: 60, finally selected frames:48, start block: 1
video: P_14 start frame:2577, end frame:3446, initially selected frames: 174, finally selected frames:160, start block: 5
video: P_14 start frame:5304, end frame:5844, initially selected frames: 108, finally selected frames:96, start block: 6
video: P_14 start frame:5934, end frame:14355, initially selected frames: 1684, finally selected frames:1680, start block: 21
video: P_14 start frame:7672, end frame:8511, initially selected frames: 168, finally selected frames:160, start block: 5
video: P_14 start frame:11028, end frame:11238, initially selected frames: 42, finally selected frames:32, start block: 1
video: P_14 start frame:14415, end frame:15224, initially selected frames: 162, finally selected frames:160, start block: 0
video: P_14 start frame:16933, end frame:19300, initially selected frames: 473, finally selected frames:464, start block: 3
video: P_14 start frame:19420, end frame:20679, initially selected frames: 252, finally selected frames:240, start block: 4
video: P_14 start frame:20949, end frame:22687, initially selected frames: 347, finally selected frames:336, start block: 7
video: P_14 start frame:22777, end frame:28381, initially selected frames: 1121, finally selected frames:1120, start block: 5
video: P_14 start frame:28441, end frame:30869, initially selected frames: 485, finally selected frames:480, start block: 26
video: P_14 start frame:28831, end frame:30329, initially selected frames: 299, finally selected frames:288, start block: 18
video: P_14 start frame:33116, end frame:34495, initially selected frames: 276, finally selected frames:272, start block: 17
video: P_14 start frame:34645, end frame:36023, initially selected frames: 275, finally selected frames:272, start block: 2
video: P_14 start frame:36023, end frame:38001, initially selected frames: 395, finally selected frames:384, start block: 0
video: P_14 start frame:38091, end frame:45914, initially selected frames: 1564, finally selected frames:1552, start block: 15
video: P_18 start frame:89, end frame:569, initially selected frames: 96, finally selected frames:96, start block: 15
video: P_18 start frame:1198, end frame:3326, initially selected frames: 425, finally selected frames:416, start block: 20
video: P_18 start frame:3446, end frame:3566, initially selected frames: 24, finally selected frames:16, start block: 0
video: P_18 start frame:4345, end frame:5364, initially selected frames: 204, finally selected frames:192, start block: 9
video: P_18 start frame:5394, end frame:5634, initially selected frames: 48, finally selected frames:48, start block: 9
video: P_18 start frame:5844, end frame:9740, initially selected frames: 779, finally selected frames:768, start block: 36
video: P_18 start frame:9800, end frame:14865, initially selected frames: 1013, finally selected frames:1008, start block: 15
video: P_18 start frame:14925, end frame:16393, initially selected frames: 293, finally selected frames:288, start block: 12
video: P_18 start frame:16543, end frame:19600, initially selected frames: 611, finally selected frames:608, start block: 5
video: P_18 start frame:19720, end frame:20619, initially selected frames: 180, finally selected frames:176, start block: 5
video: P_18 start frame:22147, end frame:22237, initially selected frames: 18, finally selected frames:16, start block: 0
video: P_18 start frame:22297, end frame:23076, initially selected frames: 156, finally selected frames:144, start block: 0
video: P_18 start frame:23406, end frame:23616, initially selected frames: 42, finally selected frames:32, start block: 2
video: P_18 start frame:28621, end frame:29640, initially selected frames: 204, finally selected frames:192, start block: 0
video: P_18 start frame:29970, end frame:32817, initially selected frames: 569, finally selected frames:560, start block: 12
video: P_18 start frame:32937, end frame:33566, initially selected frames: 126, finally selected frames:112, start block: 2
video: P_18 start frame:33686, end frame:34435, initially selected frames: 150, finally selected frames:144, start block: 1
video: P_18 start frame:33956, end frame:34285, initially selected frames: 66, finally selected frames:64, start block: 3
video: P_19 start frame:449, end frame:6773, initially selected frames: 1265, finally selected frames:1264, start block: 26
video: P_19 start frame:449, end frame:6773, initially selected frames: 1265, finally selected frames:1264, start block: 7
video: P_19 start frame:1828, end frame:3296, initially selected frames: 293, finally selected frames:288, start block: 0
video: P_19 start frame:3536, end frame:36503, initially selected frames: 6593, finally selected frames:6592, start block: 278
video: P_19 start frame:4225, end frame:5544, initially selected frames: 264, finally selected frames:256, start block: 13
video: P_19 start frame:5544, end frame:7102, initially selected frames: 311, finally selected frames:304, start block: 19
video: P_19 start frame:7492, end frame:13636, initially selected frames: 1229, finally selected frames:1216, start block: 12
video: P_19 start frame:13816, end frame:14175, initially selected frames: 72, finally selected frames:64, start block: 2
video: P_19 start frame:16783, end frame:17412, initially selected frames: 126, finally selected frames:112, start block: 1
video: P_19 start frame:17562, end frame:17952, initially selected frames: 78, finally selected frames:64, start block: 1
video: P_19 start frame:18311, end frame:24065, initially selected frames: 1151, finally selected frames:1136, start block: 9
video: P_19 start frame:24545, end frame:25054, initially selected frames: 102, finally selected frames:96, start block: 5
video: P_19 start frame:25114, end frame:26193, initially selected frames: 216, finally selected frames:208, start block: 4
video: P_19 start frame:29610, end frame:33985, initially selected frames: 875, finally selected frames:864, start block: 22
video: P_19 start frame:37102, end frame:40669, initially selected frames: 713, finally selected frames:704, start block: 27
video: P_19 start frame:40699, end frame:41568, initially selected frames: 174, finally selected frames:160, start block: 2
video: P_19 start frame:41928, end frame:43126, initially selected frames: 239, finally selected frames:224, start block: 0
video: P_19 start frame:43366, end frame:43546, initially selected frames: 36, finally selected frames:32, start block: 2
video: P_19 start frame:43426, end frame:44235, initially selected frames: 162, finally selected frames:160, start block: 7
video: P_19 start frame:44235, end frame:45374, initially selected frames: 228, finally selected frames:224, start block: 0
video: P_19 start frame:45404, end frame:45524, initially selected frames: 24, finally selected frames:16, start block: 0
video: P_19 start frame:45674, end frame:46183, initially selected frames: 102, finally selected frames:96, start block: 5
video: P_19 start frame:46573, end frame:49420, initially selected frames: 569, finally selected frames:560, start block: 25
video: P_19 start frame:49450, end frame:50109, initially selected frames: 132, finally selected frames:128, start block: 3
video: P_19 start frame:51128, end frame:62127, initially selected frames: 2200, finally selected frames:2192, start block: 66
video: P_19 start frame:62547, end frame:63806, initially selected frames: 252, finally selected frames:240, start block: 11
video: P_19 start frame:67072, end frame:69320, initially selected frames: 449, finally selected frames:448, start block: 28
video: P_19 start frame:70699, end frame:95304, initially selected frames: 4921, finally selected frames:4912, start block: 240
video: P_19 start frame:72437, end frame:88621, initially selected frames: 3237, finally selected frames:3232, start block: 145
video: P_19 start frame:95664, end frame:100159, initially selected frames: 899, finally selected frames:896, start block: 10
video: P_19 start frame:100279, end frame:100879, initially selected frames: 120, finally selected frames:112, start block: 3
video: P_19 start frame:100998, end frame:101358, initially selected frames: 72, finally selected frames:64, start block: 0
video: P_19 start frame:101508, end frame:102347, initially selected frames: 168, finally selected frames:160, start block: 10
video: P_19 start frame:103456, end frame:105434, initially selected frames: 395, finally selected frames:384, start block: 5
video: P_19 start frame:105524, end frame:106303, initially selected frames: 156, finally selected frames:144, start block: 2
video: P_19 start frame:106363, end frame:109899, initially selected frames: 707, finally selected frames:704, start block: 21
video: P_19 start frame:108851, end frame:113856, initially selected frames: 1001, finally selected frames:992, start block: 33
video: P_19 start frame:109929, end frame:111158, initially selected frames: 246, finally selected frames:240, start block: 8
video: P_19 start frame:111668, end frame:113856, initially selected frames: 437, finally selected frames:432, start block: 3
video: P_20 start frame:89, end frame:1078, initially selected frames: 198, finally selected frames:192, start block: 9
video: P_20 start frame:1408, end frame:7102, initially selected frames: 1139, finally selected frames:1136, start block: 56
video: P_20 start frame:7102, end frame:7402, initially selected frames: 60, finally selected frames:48, start block: 1
video: P_20 start frame:7432, end frame:8361, initially selected frames: 186, finally selected frames:176, start block: 0
video: P_20 start frame:8361, end frame:8481, initially selected frames: 24, finally selected frames:16, start block: 1
video: P_20 start frame:8511, end frame:8691, initially selected frames: 36, finally selected frames:32, start block: 2
video: P_20 start frame:8691, end frame:9380, initially selected frames: 138, finally selected frames:128, start block: 6
video: P_20 start frame:9410, end frame:9680, initially selected frames: 54, finally selected frames:48, start block: 2
video: P_20 start frame:9890, end frame:10819, initially selected frames: 186, finally selected frames:176, start block: 10
video: P_20 start frame:11328, end frame:12707, initially selected frames: 276, finally selected frames:272, start block: 11
video: P_20 start frame:12737, end frame:15854, initially selected frames: 623, finally selected frames:608, start block: 24
video: P_20 start frame:16153, end frame:16933, initially selected frames: 156, finally selected frames:144, start block: 4
video: P_20 start frame:18161, end frame:25294, initially selected frames: 1426, finally selected frames:1424, start block: 19
video: P_20 start frame:20319, end frame:22837, initially selected frames: 503, finally selected frames:496, start block: 0
video: P_20 start frame:25504, end frame:27332, initially selected frames: 365, finally selected frames:352, start block: 14
video: P_20 start frame:27332, end frame:28921, initially selected frames: 318, finally selected frames:304, start block: 2
video: P_20 start frame:29040, end frame:29190, initially selected frames: 30, finally selected frames:16, start block: 1
video: P_20 start frame:30299, end frame:31618, initially selected frames: 264, finally selected frames:256, start block: 1
video: P_20 start frame:29490, end frame:30209, initially selected frames: 144, finally selected frames:144, start block: 1
video: P_20 start frame:32577, end frame:33476, initially selected frames: 180, finally selected frames:176, start block: 8
video: P_20 start frame:34045, end frame:35964, initially selected frames: 384, finally selected frames:384, start block: 8
video: P_20 start frame:36503, end frame:36803, initially selected frames: 60, finally selected frames:48, start block: 2
video: P_20 start frame:36982, end frame:38811, initially selected frames: 366, finally selected frames:352, start block: 4
video: P_20 start frame:39050, end frame:40279, initially selected frames: 246, finally selected frames:240, start block: 7
video: P_20 start frame:40669, end frame:41718, initially selected frames: 210, finally selected frames:208, start block: 12
video: P_20 start frame:42317, end frame:42527, initially selected frames: 42, finally selected frames:32, start block: 1
video: P_20 start frame:43696, end frame:44625, initially selected frames: 186, finally selected frames:176, start block: 5
video: P_20 start frame:44625, end frame:44745, initially selected frames: 24, finally selected frames:16, start block: 1
video: P_20 start frame:45224, end frame:47202, initially selected frames: 395, finally selected frames:384, start block: 21
video: P_20 start frame:47382, end frame:48251, initially selected frames: 174, finally selected frames:160, start block: 5
Extraction completed !
